recall,qps
0.7583,12329
0.8068,11457
0.8492,8612
0.8741,8512
0.8986,6517
0.9083,6181
0.9263,5539
0.9355,4979
0.9425,4514
0.9540,3671
0.9598,3351
0.9659,3143
0.9755,2476
0.9784,2368
0.9859,1794
0.9913,1533
