recall,qps
0.8456,3919
0.8776,3318
0.8890,3292
0.8969,2973
0.9081,2716
0.9215,2483
0.9245,2165
0.9414,1976
0.9469,1844
0.9657,1398
0.9798,892
0.9807,628
0.9861,612
0.9892,478
0.9931,402
0.9935,380
0.9947,321
0.9954,275
