recall,qps
0.8041,17194
0.8334,14833
0.8538,12629
0.8682,11439
0.8842,10075
0.8941,9004
0.9032,8333
0.9265,5592
0.9426,4779
0.9603,4150
0.9720,3344
0.9814,2717
0.9907,1905
0.9940,1449
0.9948,1284
0.9951,1185
0.9959,1010
0.9967,877
0.9976,706
0.9978,621
0.9987,407
