dataset,family,group,label,recall,qps,direction,p,floor,k,beam,edges,hops,bestfirst,walk_l,rounds,frontier,run_index,load1,run_mirror_max,run_finished
wiki35m,cascade,wiki35m/cascade,r9421,0.9421,782.0,R11,12,250,12,32,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9476,0.9476,762.0,F03,14,250,16,32,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9505,0.9505,724.0,R09,12,250,12,64,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9511,0.9511,739.0,R08,16,250,12,32,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9531,0.9531,731.0,R07,14,250,16,48,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9566,0.9566,709.0,R06,16,250,12,48,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9590,0.959,683.0,R05,16,250,12,64,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9609,0.9609,672.0,R04,16,500,16,64,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9677,0.9677,587.0,F10,22,1150,32,64,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9723,0.9723,528.0,F11,32,1500,32,48,64,1,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9860,0.986,398.0,F12,48,2500,64,48,64,2,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
wiki35m,cascade,wiki35m/cascade,r9925,0.9925,283.0,F13,96,4000,64,48,64,2,1,,,,44,11.93,0.028208744710860368,2026-07-29T20:35:37.911539+00:00
